질문,답변
전기 이륜차는 어떤 국가에 수출되었나요?,"전기 이륜차(HS코드: 871160)은 태국(362,028달러), 미국(261,877달러), 호주(174,337달러), 중국(85,945달러), 베트남(48,326달러), 프랑스(35,375달러), 일본(24,531달러) 순으로 수출되었습니다."
2024.06에 대만에서 가장 많이 거래된 품목은 무엇인가요?,"2024.06에 대만에서 가장 많이 거래된 품목은 전기차용 리튬이온 배터리이며, 총 거래액은 14,879,327.0달러입니다."
2024.06에 대만에서 가장 적게 거래된 품목은 무엇인가요?,"2024.06에 대만에서 가장 적게 거래된 품목은 금속 빨대이며, 총 거래액은 28,648.0달러입니다."
2024.06에 독일에서 가장 많이 거래된 품목은 무엇인가요?,"2024.06에 독일에서 가장 많이 거래된 품목은 전기자동차이며, 총 거래액은 79,800,960.0달러입니다."
2024.06에 독일에서 가장 적게 거래된 품목은 무엇인가요?,"2024.06에 독일에서 가장 적게 거래된 품목은 금속 빨대이며, 총 거래액은 17,665.0달러입니다."
2024.06에 미국에서 가장 많이 거래된 품목은 무엇인가요?,"2024.06에 미국에서 가장 많이 거래된 품목은 전기차용 리튬이온 배터리이며, 총 거래액은 336,200,217.0달러입니다."
2024.06에 미국에서 가장 적게 거래된 품목은 무엇인가요?,"2024.06에 미국에서 가장 적게 거래된 품목은 천연 고무 라텍스이며, 총 거래액은 753.0달러입니다."
2024.06에 베트남에서 가장 많이 거래된 품목은 무엇인가요?,"2024.06에 베트남에서 가장 많이 거래된 품목은 전력 변환장치 (인버터)이며, 총 거래액은 18,831,445.0달러입니다."
2024.06에 베트남에서 가장 적게 거래된 품목은 무엇인가요?,"2024.06에 베트남에서 가장 적게 거래된 품목은 태양열 집열기이며, 총 거래액은 2,006.0달러입니다."
2024.06에 인도에서 가장 많이 거래된 품목은 무엇인가요?,"2024.06에 인도에서 가장 많이 거래된 품목은 전기차용 리튬이온 배터리이며, 총 거래액은 16,959,840.0달러입니다."
2024.06에 인도에서 가장 적게 거래된 품목은 무엇인가요?,"2024.06에 인도에서 가장 적게 거래된 품목은 천연 비료이며, 총 거래액은 723.0달러입니다."
2024.06에 일본에서 가장 많이 거래된 품목은 무엇인가요?,"2024.06에 일본에서 가장 많이 거래된 품목은 전기차용 리튬이온 배터리이며, 총 거래액은 20,895,561.0달러입니다."
2024.06에 일본에서 가장 적게 거래된 품목은 무엇인가요?,"2024.06에 일본에서 가장 적게 거래된 품목은 전기 이륜차이며, 총 거래액은 6,655.0달러입니다."
2024.06에 중국에서 가장 많이 거래된 품목은 무엇인가요?,"2024.06에 중국에서 가장 많이 거래된 품목은 전기차용 리튬이온 배터리이며, 총 거래액은 370,496,103.0달러입니다."
2024.06에 중국에서 가장 적게 거래된 품목은 무엇인가요?,"2024.06에 중국에서 가장 적게 거래된 품목은 천연 고무 라텍스이며, 총 거래액은 1,879.0달러입니다."
2024.06에 태국에서 가장 많이 거래된 품목은 무엇인가요?,"2024.06에 태국에서 가장 많이 거래된 품목은 천연 고무 라텍스이며, 총 거래액은 1,745,154.0달러입니다."
2024.06에 태국에서 가장 적게 거래된 품목은 무엇인가요?,"2024.06에 태국에서 가장 적게 거래된 품목은 금속 빨대이며, 총 거래액은 3,965.0달러입니다."
2024.06에 프랑스에서 가장 많이 거래된 품목은 무엇인가요?,"2024.06에 프랑스에서 가장 많이 거래된 품목은 전력 변환장치 (인버터)이며, 총 거래액은 9,856,205.0달러입니다."
2024.06에 프랑스에서 가장 적게 거래된 품목은 무엇인가요?,"2024.06에 프랑스에서 가장 적게 거래된 품목은 슬래그 울, 단열재이며, 총 거래액은 21,801.0달러입니다."
2024.06에 호주에서 가장 많이 거래된 품목은 무엇인가요?,"2024.06에 호주에서 가장 많이 거래된 품목은 전기자동차이며, 총 거래액은 7,140,352.0달러입니다."
2024.06에 호주에서 가장 적게 거래된 품목은 무엇인가요?,"2024.06에 호주에서 가장 적게 거래된 품목은 전기 이륜차이며, 총 거래액은 929.0달러입니다."
2024.07에 대만에서 가장 많이 거래된 품목은 무엇인가요?,"2024.07에 대만에서 가장 많이 거래된 품목은 천연 성분 세제이며, 총 거래액은 6,902,795.0달러입니다."
2024.07에 대만에서 가장 적게 거래된 품목은 무엇인가요?,"2024.07에 대만에서 가장 적게 거래된 품목은 금속 빨대이며, 총 거래액은 10,974.0달러입니다."
2024.07에 독일에서 가장 많이 거래된 품목은 무엇인가요?,"2024.07에 독일에서 가장 많이 거래된 품목은 전기자동차이며, 총 거래액은 52,358,667.0달러입니다."
2024.07에 독일에서 가장 적게 거래된 품목은 무엇인가요?,"2024.07에 독일에서 가장 적게 거래된 품목은 태양열 집열기이며, 총 거래액은 7,463.0달러입니다."
2024.07에 미국에서 가장 많이 거래된 품목은 무엇인가요?,"2024.07에 미국에서 가장 많이 거래된 품목은 전기차용 리튬이온 배터리이며, 총 거래액은 324,510,600.0달러입니다."
2024.07에 미국에서 가장 적게 거래된 품목은 무엇인가요?,"2024.07에 미국에서 가장 적게 거래된 품목은 천연 비료이며, 총 거래액은 1,679.0달러입니다."
2024.07에 베트남에서 가장 많이 거래된 품목은 무엇인가요?,"2024.07에 베트남에서 가장 많이 거래된 품목은 전력 변환장치 (인버터)이며, 총 거래액은 19,546,152.0달러입니다."
2024.07에 베트남에서 가장 적게 거래된 품목은 무엇인가요?,"2024.07에 베트남에서 가장 적게 거래된 품목은 유기농 면화이며, 총 거래액은 334.0달러입니다."
2024.07에 인도에서 가장 많이 거래된 품목은 무엇인가요?,"2024.07에 인도에서 가장 많이 거래된 품목은 전기차용 리튬이온 배터리이며, 총 거래액은 22,955,984.0달러입니다."
2024.07에 인도에서 가장 적게 거래된 품목은 무엇인가요?,"2024.07에 인도에서 가장 적게 거래된 품목은 천연 비료이며, 총 거래액은 1.0달러입니다."
2024.07에 일본에서 가장 많이 거래된 품목은 무엇인가요?,"2024.07에 일본에서 가장 많이 거래된 품목은 전기차용 리튬이온 배터리이며, 총 거래액은 23,795,106.0달러입니다."
2024.07에 일본에서 가장 적게 거래된 품목은 무엇인가요?,"2024.07에 일본에서 가장 적게 거래된 품목은 전기 이륜차이며, 총 거래액은 2,401.0달러입니다."
2024.07에 중국에서 가장 많이 거래된 품목은 무엇인가요?,"2024.07에 중국에서 가장 많이 거래된 품목은 전기차용 리튬이온 배터리이며, 총 거래액은 261,908,117.0달러입니다."
2024.07에 중국에서 가장 적게 거래된 품목은 무엇인가요?,"2024.07에 중국에서 가장 적게 거래된 품목은 천연 고무 라텍스이며, 총 거래액은 8.0달러입니다."
2024.07에 태국에서 가장 많이 거래된 품목은 무엇인가요?,"2024.07에 태국에서 가장 많이 거래된 품목은 전력 변환장치 (인버터)이며, 총 거래액은 2,101,581.0달러입니다."
2024.07에 태국에서 가장 적게 거래된 품목은 무엇인가요?,"2024.07에 태국에서 가장 적게 거래된 품목은 종이 빨대, 포장재이며, 총 거래액은 12,092.0달러입니다."
2024.07에 프랑스에서 가장 많이 거래된 품목은 무엇인가요?,"2024.07에 프랑스에서 가장 많이 거래된 품목은 전기자동차이며, 총 거래액은 5,683,238.0달러입니다."
2024.07에 프랑스에서 가장 적게 거래된 품목은 무엇인가요?,"2024.07에 프랑스에서 가장 적게 거래된 품목은 천연 고무 라텍스이며, 총 거래액은 238.0달러입니다."
2024.07에 호주에서 가장 많이 거래된 품목은 무엇인가요?,"2024.07에 호주에서 가장 많이 거래된 품목은 전기차용 리튬이온 배터리이며, 총 거래액은 6,285,765.0달러입니다."
2024.07에 호주에서 가장 적게 거래된 품목은 무엇인가요?,"2024.07에 호주에서 가장 적게 거래된 품목은 금속 빨대이며, 총 거래액은 4,498.0달러입니다."
2024.08에 대만에서 가장 많이 거래된 품목은 무엇인가요?,"2024.08에 대만에서 가장 많이 거래된 품목은 전력 변환장치 (인버터)이며, 총 거래액은 4,524,665.0달러입니다."
2024.08에 대만에서 가장 적게 거래된 품목은 무엇인가요?,"2024.08에 대만에서 가장 적게 거래된 품목은 금속 빨대이며, 총 거래액은 1,477.0달러입니다."
2024.08에 독일에서 가장 많이 거래된 품목은 무엇인가요?,"2024.08에 독일에서 가장 많이 거래된 품목은 전기자동차이며, 총 거래액은 48,845,984.0달러입니다."
2024.08에 독일에서 가장 적게 거래된 품목은 무엇인가요?,"2024.08에 독일에서 가장 적게 거래된 품목은 천연 비료이며, 총 거래액은 33.0달러입니다."
2024.08에 미국에서 가장 많이 거래된 품목은 무엇인가요?,"2024.08에 미국에서 가장 많이 거래된 품목은 전기차용 리튬이온 배터리이며, 총 거래액은 323,828,972.0달러입니다."
2024.08에 미국에서 가장 적게 거래된 품목은 무엇인가요?,"2024.08에 미국에서 가장 적게 거래된 품목은 전기 이륜차이며, 총 거래액은 589.0달러입니다."
2024.08에 베트남에서 가장 많이 거래된 품목은 무엇인가요?,"2024.08에 베트남에서 가장 많이 거래된 품목은 전력 변환장치 (인버터)이며, 총 거래액은 18,869,420.0달러입니다."
2024.08에 베트남에서 가장 적게 거래된 품목은 무엇인가요?,"2024.08에 베트남에서 가장 적게 거래된 품목은 유기농 면화이며, 총 거래액은 1,859.0달러입니다."
2024.08에 인도에서 가장 많이 거래된 품목은 무엇인가요?,"2024.08에 인도에서 가장 많이 거래된 품목은 전기차용 리튬이온 배터리이며, 총 거래액은 21,058,094.0달러입니다."
2024.08에 인도에서 가장 적게 거래된 품목은 무엇인가요?,"2024.08에 인도에서 가장 적게 거래된 품목은 금속 빨대이며, 총 거래액은 39,087.0달러입니다."
2024.08에 일본에서 가장 많이 거래된 품목은 무엇인가요?,"2024.08에 일본에서 가장 많이 거래된 품목은 전기차용 리튬이온 배터리이며, 총 거래액은 17,769,708.0달러입니다."
2024.08에 일본에서 가장 적게 거래된 품목은 무엇인가요?,"2024.08에 일본에서 가장 적게 거래된 품목은 전기 이륜차이며, 총 거래액은 3,737.0달러입니다."
2024.08에 중국에서 가장 많이 거래된 품목은 무엇인가요?,"2024.08에 중국에서 가장 많이 거래된 품목은 전기차용 리튬이온 배터리이며, 총 거래액은 365,935,179.0달러입니다."
2024.08에 중국에서 가장 적게 거래된 품목은 무엇인가요?,"2024.08에 중국에서 가장 적게 거래된 품목은 천연 고무 라텍스이며, 총 거래액은 4,920.0달러입니다."
2024.08에 태국에서 가장 많이 거래된 품목은 무엇인가요?,"2024.08에 태국에서 가장 많이 거래된 품목은 전기자동차이며, 총 거래액은 3,121,970.0달러입니다."
2024.08에 태국에서 가장 적게 거래된 품목은 무엇인가요?,"2024.08에 태국에서 가장 적게 거래된 품목은 슬래그 울, 단열재이며, 총 거래액은 952.0달러입니다."
2024.08에 프랑스에서 가장 많이 거래된 품목은 무엇인가요?,"2024.08에 프랑스에서 가장 많이 거래된 품목은 전기자동차이며, 총 거래액은 6,379,465.0달러입니다."
2024.08에 프랑스에서 가장 적게 거래된 품목은 무엇인가요?,"2024.08에 프랑스에서 가장 적게 거래된 품목은 천연 고무 라텍스이며, 총 거래액은 729.0달러입니다."
2024.08에 호주에서 가장 많이 거래된 품목은 무엇인가요?,"2024.08에 호주에서 가장 많이 거래된 품목은 전기차용 리튬이온 배터리이며, 총 거래액은 2,328,168.0달러입니다."
2024.08에 호주에서 가장 적게 거래된 품목은 무엇인가요?,"2024.08에 호주에서 가장 적게 거래된 품목은 풍력 터빈용 발전기이며, 총 거래액은 1,685.0달러입니다."
2024.09에 대만에서 가장 많이 거래된 품목은 무엇인가요?,"2024.09에 대만에서 가장 많이 거래된 품목은 천연 성분 세제이며, 총 거래액은 4,387,979.0달러입니다."
2024.09에 대만에서 가장 적게 거래된 품목은 무엇인가요?,"2024.09에 대만에서 가장 적게 거래된 품목은 금속 빨대이며, 총 거래액은 3,010.0달러입니다."
2024.09에 독일에서 가장 많이 거래된 품목은 무엇인가요?,"2024.09에 독일에서 가장 많이 거래된 품목은 전기자동차이며, 총 거래액은 78,335,140.0달러입니다."
2024.09에 독일에서 가장 적게 거래된 품목은 무엇인가요?,"2024.09에 독일에서 가장 적게 거래된 품목은 천연 비료이며, 총 거래액은 37.0달러입니다."
2024.09에 미국에서 가장 많이 거래된 품목은 무엇인가요?,"2024.09에 미국에서 가장 많이 거래된 품목은 전기차용 리튬이온 배터리이며, 총 거래액은 329,243,235.0달러입니다."
2024.09에 미국에서 가장 적게 거래된 품목은 무엇인가요?,"2024.09에 미국에서 가장 적게 거래된 품목은 전기 이륜차이며, 총 거래액은 238.0달러입니다."
2024.09에 베트남에서 가장 많이 거래된 품목은 무엇인가요?,"2024.09에 베트남에서 가장 많이 거래된 품목은 전력 변환장치 (인버터)이며, 총 거래액은 22,128,263.0달러입니다."
2024.09에 베트남에서 가장 적게 거래된 품목은 무엇인가요?,"2024.09에 베트남에서 가장 적게 거래된 품목은 전기 이륜차이며, 총 거래액은 6,025.0달러입니다."
2024.09에 인도에서 가장 많이 거래된 품목은 무엇인가요?,"2024.09에 인도에서 가장 많이 거래된 품목은 전기차용 리튬이온 배터리이며, 총 거래액은 14,951,491.0달러입니다."
2024.09에 인도에서 가장 적게 거래된 품목은 무엇인가요?,"2024.09에 인도에서 가장 적게 거래된 품목은 태양열 집열기이며, 총 거래액은 441.0달러입니다."
2024.09에 일본에서 가장 많이 거래된 품목은 무엇인가요?,"2024.09에 일본에서 가장 많이 거래된 품목은 전기차용 리튬이온 배터리이며, 총 거래액은 20,665,478.0달러입니다."
2024.09에 일본에서 가장 적게 거래된 품목은 무엇인가요?,"2024.09에 일본에서 가장 적게 거래된 품목은 천연 고무 라텍스이며, 총 거래액은 30.0달러입니다."
2024.09에 중국에서 가장 많이 거래된 품목은 무엇인가요?,"2024.09에 중국에서 가장 많이 거래된 품목은 전기차용 리튬이온 배터리이며, 총 거래액은 301,130,142.0달러입니다."
2024.09에 중국에서 가장 적게 거래된 품목은 무엇인가요?,"2024.09에 중국에서 가장 적게 거래된 품목은 풍력 터빈용 발전기이며, 총 거래액은 4,037.0달러입니다."
2024.09에 태국에서 가장 많이 거래된 품목은 무엇인가요?,"2024.09에 태국에서 가장 많이 거래된 품목은 천연 고무 라텍스이며, 총 거래액은 1,475,527.0달러입니다."
2024.09에 태국에서 가장 적게 거래된 품목은 무엇인가요?,"2024.09에 태국에서 가장 적게 거래된 품목은 전기 이륜차이며, 총 거래액은 450.0달러입니다."
2024.09에 프랑스에서 가장 많이 거래된 품목은 무엇인가요?,"2024.09에 프랑스에서 가장 많이 거래된 품목은 전기자동차이며, 총 거래액은 11,027,068.0달러입니다."
2024.09에 프랑스에서 가장 적게 거래된 품목은 무엇인가요?,"2024.09에 프랑스에서 가장 적게 거래된 품목은 유기농 면화이며, 총 거래액은 2,583.0달러입니다."
2024.09에 호주에서 가장 많이 거래된 품목은 무엇인가요?,"2024.09에 호주에서 가장 많이 거래된 품목은 전기자동차이며, 총 거래액은 5,356,687.0달러입니다."
2024.09에 호주에서 가장 적게 거래된 품목은 무엇인가요?,"2024.09에 호주에서 가장 적게 거래된 품목은 금속 빨대이며, 총 거래액은 5,321.0달러입니다."
2024.10에 대만에서 가장 많이 거래된 품목은 무엇인가요?,"2024.10에 대만에서 가장 많이 거래된 품목은 천연 성분 세제이며, 총 거래액은 6,291,532.0달러입니다."
2024.10에 대만에서 가장 적게 거래된 품목은 무엇인가요?,"2024.10에 대만에서 가장 적게 거래된 품목은 유기농 면화이며, 총 거래액은 1,119.0달러입니다."
2024.10에 독일에서 가장 많이 거래된 품목은 무엇인가요?,"2024.10에 독일에서 가장 많이 거래된 품목은 전기자동차이며, 총 거래액은 108,537,513.0달러입니다."
2024.10에 독일에서 가장 적게 거래된 품목은 무엇인가요?,"2024.10에 독일에서 가장 적게 거래된 품목은 천연 비료이며, 총 거래액은 158.0달러입니다."
2024.10에 미국에서 가장 많이 거래된 품목은 무엇인가요?,"2024.10에 미국에서 가장 많이 거래된 품목은 전기차용 리튬이온 배터리이며, 총 거래액은 232,448,977.0달러입니다."
2024.10에 미국에서 가장 적게 거래된 품목은 무엇인가요?,"2024.10에 미국에서 가장 적게 거래된 품목은 천연 고무 라텍스이며, 총 거래액은 165.0달러입니다."
2024.10에 베트남에서 가장 많이 거래된 품목은 무엇인가요?,"2024.10에 베트남에서 가장 많이 거래된 품목은 전력 변환장치 (인버터)이며, 총 거래액은 25,972,989.0달러입니다."
2024.10에 베트남에서 가장 적게 거래된 품목은 무엇인가요?,"2024.10에 베트남에서 가장 적게 거래된 품목은 태양열 집열기이며, 총 거래액은 28,109.0달러입니다."
2024.10에 인도에서 가장 많이 거래된 품목은 무엇인가요?,"2024.10에 인도에서 가장 많이 거래된 품목은 전기차용 리튬이온 배터리이며, 총 거래액은 17,972,939.0달러입니다."
2024.10에 인도에서 가장 적게 거래된 품목은 무엇인가요?,"2024.10에 인도에서 가장 적게 거래된 품목은 천연 비료이며, 총 거래액은 34.0달러입니다."
2024.10에 일본에서 가장 많이 거래된 품목은 무엇인가요?,"2024.10에 일본에서 가장 많이 거래된 품목은 전기차용 리튬이온 배터리이며, 총 거래액은 16,191,368.0달러입니다."
2024.10에 일본에서 가장 적게 거래된 품목은 무엇인가요?,"2024.10에 일본에서 가장 적게 거래된 품목은 전기 이륜차이며, 총 거래액은 17,930.0달러입니다."
2024.10에 중국에서 가장 많이 거래된 품목은 무엇인가요?,"2024.10에 중국에서 가장 많이 거래된 품목은 전기차용 리튬이온 배터리이며, 총 거래액은 367,528,518.0달러입니다."
2024.10에 중국에서 가장 적게 거래된 품목은 무엇인가요?,"2024.10에 중국에서 가장 적게 거래된 품목은 태양열 집열기이며, 총 거래액은 477.0달러입니다."
2024.10에 태국에서 가장 많이 거래된 품목은 무엇인가요?,"2024.10에 태국에서 가장 많이 거래된 품목은 천연 고무 라텍스이며, 총 거래액은 1,991,563.0달러입니다."
2024.10에 태국에서 가장 적게 거래된 품목은 무엇인가요?,"2024.10에 태국에서 가장 적게 거래된 품목은 슬래그 울, 단열재이며, 총 거래액은 1,888.0달러입니다."
2024.10에 프랑스에서 가장 많이 거래된 품목은 무엇인가요?,"2024.10에 프랑스에서 가장 많이 거래된 품목은 전기자동차이며, 총 거래액은 14,523,459.0달러입니다."
2024.10에 프랑스에서 가장 적게 거래된 품목은 무엇인가요?,"2024.10에 프랑스에서 가장 적게 거래된 품목은 천연 고무 라텍스이며, 총 거래액은 82.0달러입니다."
2024.10에 호주에서 가장 많이 거래된 품목은 무엇인가요?,"2024.10에 호주에서 가장 많이 거래된 품목은 전기자동차이며, 총 거래액은 7,902,948.0달러입니다."
2024.10에 호주에서 가장 적게 거래된 품목은 무엇인가요?,"2024.10에 호주에서 가장 적게 거래된 품목은 태양열 집열기이며, 총 거래액은 760.0달러입니다."
2024.11에 대만에서 가장 많이 거래된 품목은 무엇인가요?,"2024.11에 대만에서 가장 많이 거래된 품목은 천연 성분 세제이며, 총 거래액은 6,532,188.0달러입니다."
2024.11에 대만에서 가장 적게 거래된 품목은 무엇인가요?,"2024.11에 대만에서 가장 적게 거래된 품목은 금속 빨대이며, 총 거래액은 14,997.0달러입니다."
2024.11에 독일에서 가장 많이 거래된 품목은 무엇인가요?,"2024.11에 독일에서 가장 많이 거래된 품목은 전기자동차이며, 총 거래액은 113,431,523.0달러입니다."
2024.11에 독일에서 가장 적게 거래된 품목은 무엇인가요?,"2024.11에 독일에서 가장 적게 거래된 품목은 천연 비료이며, 총 거래액은 50.0달러입니다."
2024.11에 미국에서 가장 많이 거래된 품목은 무엇인가요?,"2024.11에 미국에서 가장 많이 거래된 품목은 전기차용 리튬이온 배터리이며, 총 거래액은 267,620,520.0달러입니다."
2024.11에 미국에서 가장 적게 거래된 품목은 무엇인가요?,"2024.11에 미국에서 가장 적게 거래된 품목은 천연 비료이며, 총 거래액은 1,281.0달러입니다."
2024.11에 베트남에서 가장 많이 거래된 품목은 무엇인가요?,"2024.11에 베트남에서 가장 많이 거래된 품목은 전기차용 리튬이온 배터리이며, 총 거래액은 19,197,600.0달러입니다."
2024.11에 베트남에서 가장 적게 거래된 품목은 무엇인가요?,"2024.11에 베트남에서 가장 적게 거래된 품목은 유기농 면화이며, 총 거래액은 2,948.0달러입니다."
2024.11에 인도에서 가장 많이 거래된 품목은 무엇인가요?,"2024.11에 인도에서 가장 많이 거래된 품목은 전기차용 리튬이온 배터리이며, 총 거래액은 19,067,010.0달러입니다."
2024.11에 인도에서 가장 적게 거래된 품목은 무엇인가요?,"2024.11에 인도에서 가장 적게 거래된 품목은 천연 비료이며, 총 거래액은 84.0달러입니다."
2024.11에 일본에서 가장 많이 거래된 품목은 무엇인가요?,"2024.11에 일본에서 가장 많이 거래된 품목은 전기차용 리튬이온 배터리이며, 총 거래액은 18,891,517.0달러입니다."
2024.11에 일본에서 가장 적게 거래된 품목은 무엇인가요?,"2024.11에 일본에서 가장 적게 거래된 품목은 전기 이륜차이며, 총 거래액은 240.0달러입니다."
2024.11에 중국에서 가장 많이 거래된 품목은 무엇인가요?,"2024.11에 중국에서 가장 많이 거래된 품목은 전기차용 리튬이온 배터리이며, 총 거래액은 468,356,231.0달러입니다."
2024.11에 중국에서 가장 적게 거래된 품목은 무엇인가요?,"2024.11에 중국에서 가장 적게 거래된 품목은 유기농 면화이며, 총 거래액은 208.0달러입니다."
2024.11에 태국에서 가장 많이 거래된 품목은 무엇인가요?,"2024.11에 태국에서 가장 많이 거래된 품목은 천연 고무 라텍스이며, 총 거래액은 2,016,744.0달러입니다."
2024.11에 태국에서 가장 적게 거래된 품목은 무엇인가요?,"2024.11에 태국에서 가장 적게 거래된 품목은 종이 빨대, 포장재이며, 총 거래액은 13,526.0달러입니다."
2024.11에 프랑스에서 가장 많이 거래된 품목은 무엇인가요?,"2024.11에 프랑스에서 가장 많이 거래된 품목은 전기자동차이며, 총 거래액은 30,683,147.0달러입니다."
2024.11에 프랑스에서 가장 적게 거래된 품목은 무엇인가요?,"2024.11에 프랑스에서 가장 적게 거래된 품목은 천연 비료이며, 총 거래액은 95.0달러입니다."
2024.11에 호주에서 가장 많이 거래된 품목은 무엇인가요?,"2024.11에 호주에서 가장 많이 거래된 품목은 전기자동차이며, 총 거래액은 6,139,501.0달러입니다."
2024.11에 호주에서 가장 적게 거래된 품목은 무엇인가요?,"2024.11에 호주에서 가장 적게 거래된 품목은 천연 비료이며, 총 거래액은 132.0달러입니다."
2024.12에 대만에서 가장 많이 거래된 품목은 무엇인가요?,"2024.12에 대만에서 가장 많이 거래된 품목은 전기차용 리튬이온 배터리이며, 총 거래액은 27,166,769.0달러입니다."
2024.12에 대만에서 가장 적게 거래된 품목은 무엇인가요?,"2024.12에 대만에서 가장 적게 거래된 품목은 금속 빨대이며, 총 거래액은 4,862.0달러입니다."
2024.12에 독일에서 가장 많이 거래된 품목은 무엇인가요?,"2024.12에 독일에서 가장 많이 거래된 품목은 전기자동차이며, 총 거래액은 192,633,810.0달러입니다."
2024.12에 독일에서 가장 적게 거래된 품목은 무엇인가요?,"2024.12에 독일에서 가장 적게 거래된 품목은 천연 비료이며, 총 거래액은 99.0달러입니다."
2024.12에 미국에서 가장 많이 거래된 품목은 무엇인가요?,"2024.12에 미국에서 가장 많이 거래된 품목은 전기차용 리튬이온 배터리이며, 총 거래액은 375,978,573.0달러입니다."
2024.12에 미국에서 가장 적게 거래된 품목은 무엇인가요?,"2024.12에 미국에서 가장 적게 거래된 품목은 천연 비료이며, 총 거래액은 1,430.0달러입니다."
2024.12에 베트남에서 가장 많이 거래된 품목은 무엇인가요?,"2024.12에 베트남에서 가장 많이 거래된 품목은 전력 변환장치 (인버터)이며, 총 거래액은 19,634,026.0달러입니다."
2024.12에 베트남에서 가장 적게 거래된 품목은 무엇인가요?,"2024.12에 베트남에서 가장 적게 거래된 품목은 천연 고무 라텍스이며, 총 거래액은 4,961.0달러입니다."
